sample_id,path,filename,split,crack_count,class_id,cluster_center_x,cluster_center_y,cluster_half_size_x,cluster_half_size_y,mean_length,length_spread,mean_angle_deg,angle_spread_deg,shape,dtype
000000,2nd_selection/receivers_fractures_4_0.0_-150.0_250.0_150.0_30.0_2.0_14.0_14.0.npy,receivers_fractures_4_0.0_-150.0_250.0_150.0_30.0_2.0_14.0_14.0.npy,train,4,1,0.0,-150.0,250.0,150.0,30.0,2.0,14.0,14.0,2x1723x501,float32
000001,2nd_selection/receivers_fractures_5_0.0_-150.0_250.0_150.0_30.0_4.0_-16.0_-16.0.npy,receivers_fractures_5_0.0_-150.0_250.0_150.0_30.0_4.0_-16.0_-16.0.npy,train,5,2,0.0,-150.0,250.0,150.0,30.0,4.0,-16.0,-16.0,2x1723x501,float32
000002,2nd_selection/receivers_fractures_5_0.0_-150.0_250.0_150.0_40.0_2.0_-8.0_-8.0.npy,receivers_fractures_5_0.0_-150.0_250.0_150.0_40.0_2.0_-8.0_-8.0.npy,train,5,2,0.0,-150.0,250.0,150.0,40.0,2.0,-8.0,-8.0,2x1723x501,float32
000003,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_25.0_4.0_18.0_18.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_25.0_4.0_18.0_18.0.npy,train,3,0,0.0,-150.0,250.0,150.0,25.0,4.0,18.0,18.0,2x1723x501,float32
000004,2nd_selection/receivers_fractures_4_0.0_-150.0_250.0_150.0_25.0_2.0_4.0_4.0.npy,receivers_fractures_4_0.0_-150.0_250.0_150.0_25.0_2.0_4.0_4.0.npy,train,4,1,0.0,-150.0,250.0,150.0,25.0,2.0,4.0,4.0,2x1723x501,float32
000005,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_30.0_2.0_16.0_16.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_30.0_2.0_16.0_16.0.npy,train,3,0,0.0,-150.0,250.0,150.0,30.0,2.0,16.0,16.0,2x1723x501,float32
000006,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_40.0_4.0_8.0_8.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_40.0_4.0_8.0_8.0.npy,train,3,0,0.0,-150.0,250.0,150.0,40.0,4.0,8.0,8.0,2x1723x501,float32
000007,2nd_selection/receivers_fractures_5_0.0_-150.0_250.0_150.0_25.0_2.0_-18.0_-18.0.npy,receivers_fractures_5_0.0_-150.0_250.0_150.0_25.0_2.0_-18.0_-18.0.npy,train,5,2,0.0,-150.0,250.0,150.0,25.0,2.0,-18.0,-18.0,2x1723x501,float32
000008,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_25.0_6.0_6.0_6.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_25.0_6.0_6.0_6.0.npy,train,3,0,0.0,-150.0,250.0,150.0,25.0,6.0,6.0,6.0,2x1723x501,float32
000009,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_35.0_4.0_-6.0_-6.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_35.0_4.0_-6.0_-6.0.npy,train,3,0,0.0,-150.0,250.0,150.0,35.0,4.0,-6.0,-6.0,2x1723x501,float32
000010,2nd_selection/receivers_fractures_5_0.0_-150.0_250.0_150.0_25.0_4.0_-6.0_-6.0.npy,receivers_fractures_5_0.0_-150.0_250.0_150.0_25.0_4.0_-6.0_-6.0.npy,train,5,2,0.0,-150.0,250.0,150.0,25.0,4.0,-6.0,-6.0,2x1723x501,float32
000011,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_30.0_2.0_2.0_2.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_30.0_2.0_2.0_2.0.npy,train,3,0,0.0,-150.0,250.0,150.0,30.0,2.0,2.0,2.0,2x1723x501,float32
000012,2nd_selection/receivers_fractures_5_0.0_-150.0_250.0_150.0_35.0_2.0_-18.0_-18.0.npy,receivers_fractures_5_0.0_-150.0_250.0_150.0_35.0_2.0_-18.0_-18.0.npy,train,5,2,0.0,-150.0,250.0,150.0,35.0,2.0,-18.0,-18.0,2x1723x501,float32
000013,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_25.0_4.0_-8.0_-8.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_25.0_4.0_-8.0_-8.0.npy,train,3,0,0.0,-150.0,250.0,150.0,25.0,4.0,-8.0,-8.0,2x1723x501,float32
000014,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_35.0_2.0_4.0_4.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_35.0_2.0_4.0_4.0.npy,train,3,0,0.0,-150.0,250.0,150.0,35.0,2.0,4.0,4.0,2x1723x501,float32
000015,2nd_selection/receivers_fractures_4_0.0_-150.0_250.0_150.0_30.0_6.0_14.0_14.0.npy,receivers_fractures_4_0.0_-150.0_250.0_150.0_30.0_6.0_14.0_14.0.npy,train,4,1,0.0,-150.0,250.0,150.0,30.0,6.0,14.0,14.0,2x1723x501,float32
000016,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_35.0_4.0_10.0_10.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_35.0_4.0_10.0_10.0.npy,train,3,0,0.0,-150.0,250.0,150.0,35.0,4.0,10.0,10.0,2x1723x501,float32
000017,2nd_selection/receivers_fractures_4_0.0_-150.0_250.0_150.0_25.0_4.0_-12.0_-12.0.npy,receivers_fractures_4_0.0_-150.0_250.0_150.0_25.0_4.0_-12.0_-12.0.npy,train,4,1,0.0,-150.0,250.0,150.0,25.0,4.0,-12.0,-12.0,2x1723x501,float32
000018,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_35.0_4.0_12.0_12.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_35.0_4.0_12.0_12.0.npy,train,3,0,0.0,-150.0,250.0,150.0,35.0,4.0,12.0,12.0,2x1723x501,float32
000019,2nd_selection/receivers_fractures_4_0.0_-150.0_250.0_150.0_35.0_2.0_-12.0_-12.0.npy,receivers_fractures_4_0.0_-150.0_250.0_150.0_35.0_2.0_-12.0_-12.0.npy,train,4,1,0.0,-150.0,250.0,150.0,35.0,2.0,-12.0,-12.0,2x1723x501,float32
000020,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_30.0_2.0_12.0_12.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_30.0_2.0_12.0_12.0.npy,train,3,0,0.0,-150.0,250.0,150.0,30.0,2.0,12.0,12.0,2x1723x501,float32
000021,2nd_selection/receivers_fractures_3_0.0_-150.0_250.0_150.0_25.0_4.0_2.0_2.0.npy,receivers_fractures_3_0.0_-150.0_250.0_150.0_25.0_4.0_2.0_2.0.npy,train,3,0,0.0,-150.0,250.0,150.0,25.0,4.0,2.0,2.0,2x1723x501,float32
000022,2nd_selection/receivers_fractures_5_0.0_-150.0_250.0_150.0_25.0_4.0_-16.0_-16.0.npy,receivers_fractures_5_0.0_-150.0_250.0_150.0_25.0_4.0_-16.0_-16.0.npy,train,5,2,0.0,-150.0,250.0,150.0,25.0,4.0,-16.0,-16.0,2x1723x501,float32
000023,2nd_selection/receivers_fractures_5_0.0_-150.0_250.0_150.0_25.0_2.0_6.0_6.0.npy,receivers_fractures_5_0.0_-150.0_250.0_150.0_25.0_2.0_6.0_6.0.npy,train,5,2,0.0,-150.0,250.0,150.0,25.0,2.0,6.0,6.0,2x1723x501,float32
000024,2nd_selection/receivers_fractures_4_0.0_-150.0_250.0_150.0_35.0_4.0_16.0_16.0.npy,receivers_fractures_4_0.0_-150.0_250.0_150.0_35.0_4.0_16.0_16.0.npy,train,4,1,0.0,-150.0,250.0,150.0,35.0,4.0,16.0,16.0,2x1723x501,float32
000025,2nd_selection/receivers_fractures_4_0.0_-150.0_250.0_150.0_25.0_4.0_-8.0_-8.0.npy,receivers_fractures_4_0.0_-150.0_250.0_150.0_25.0_4.0_-8.0_-8.0.npy,train,4,1,0.0,-150.0,250.0,150.0,25.0,4.0,-8.0,-8.0,2x1723x501,float32
